tissue,Geneid,logFC,AveExpr,t,P.Value,adj.P.Val,B,HSvsC,SYMBOL
head,FBgn0043783,-1.695951320121523,7.600410360621259,-22.283987870685777,4.476987490269231e-99,3.055991660857777e-95,215.06165179527244,-1,CG32444
head,FBgn0032945,-2.4071845335301694,5.745522511586786,-21.206526612494894,9.955482377125386e-91,3.3978061353128944e-87,195.70989929163136,-1,CG8665
head,FBgn0038484,4.011874773582035,1.5926737794918424,20.651540879374974,1.5599814627922935e-86,3.549477821673399e-83,183.30630329814284,1,CG5246
head,FBgn0024289,-1.7447137196722338,5.843685032735896,-20.312232898320673,5.267276656922368e-84,8.988607615038021e-81,180.38173237933577,-1,Sodh-1
head,FBgn0013272,1.1088790308385654,6.33542691776869,19.934892787203676,3.164643456735822e-81,4.320371247135744e-78,174.16289060206103,1,Gp150
head,FBgn0043578,-2.3419897523811617,7.412562280370611,-19.683753290375748,2.1381289243243584e-79,2.4324780062396784e-76,169.9946741475842,-1,PGRP-SB1
head,FBgn0010408,-0.7196891824210088,9.716432584291988,-18.460702807814858,1.0192839876291329e-70,9.939474999366372e-68,150.14987284658577,-1,RpS9
head,FBgn0262742,0.502665689987202,9.255414720198084,18.029804906605303,9.350311274479717e-68,7.978153094949819e-65,143.3673331985515,1,NA
head,FBgn0261931,1.2413921217991257,5.5252666230279655,17.5813948466032,9.985287061916607e-65,7.57328549829364e-62,136.3906188647752,1,Hecw
head,FBgn0052017,1.0110615173433768,4.87108687691778,17.35476677611422,3.224830664447062e-63,2.2012694115515646e-60,132.79917301132951,1,CG32017
head,FBgn0266347,-0.64392036544813,7.710455635773553,-17.30722558966684,6.656381878244884e-63,4.1305875182635977e-60,132.26990357194433,-1,nAChRalpha4
head,FBgn0028399,1.0678454203162815,4.701342824374129,17.07277608385056,2.322036631299713e-61,1.3208518371043201e-58,128.50315382862505,1,Serinc
head,FBgn0000406,-0.9329043011192333,8.520560656319464,-17.03962628104319,3.8257056273146876e-61,2.008789739388466e-58,128.2386034035079,-1,Cyt-b5-r
head,FBgn0020372,0.8272412147971098,5.8096334728978825,16.9723059636995,1.0521917449580608e-60,5.130186322202659e-58,127.21144784718871,1,TM4SF
head,FBgn0032076,-1.3486676115244496,5.367297819519868,-16.898207204245274,3.19300477457532e-60,1.4530300394167422e-57,126.03087925843678,-1,Argl
head,FBgn0004240,-3.623629932773258,4.907604215845847,-16.63210264487608,1.668507856713586e-58,7.118271643704336e-56,122.00894061435822,-1,DptA
head,FBgn0083124,1.5621857193237205,2.7562056168893956,15.853520952880157,1.3445828094951576e-53,5.398895445655262e-51,110.04334132278676,1,Uhg4
head,FBgn0036262,-0.744314311133957,8.116699988602537,-15.758886563252078,5.157708660707045e-53,1.9559177398881275e-50,109.6452220226724,-1,CG6910
head,FBgn0010388,-2.867840886357495,5.782369589956891,-15.734293269522038,7.307059063785274e-53,2.625157114178857e-50,109.27974518367677,-1,Dro
head,FBgn0020385,-0.9416680710634058,6.212394652297775,-15.67852381617662,1.607392033387103e-52,5.486029009950182e-50,108.53621765378986,-1,pug
head,FBgn0034140,-0.9635977188332392,7.0415920053316485,-15.565636404035105,7.874673860087582e-52,2.559643988997992e-49,106.95873598384121,-1,Lst
head,FBgn0000108,0.4495489721220025,9.184810451026054,15.390792156887656,9.06425269771538e-51,2.8123904052093264e-48,104.49022896074688,1,Appl
head,FBgn0033246,-0.5835548200485547,7.579113040968831,-15.332351962578935,2.0411719553154811e-50,6.057843376949337e-48,103.71280635640707,-1,ACC
head,FBgn0039678,-1.4960618416078209,8.77009734685176,-15.205967794833773,1.1712891530752214e-49,3.3313415662047755e-47,101.95848127937855,-1,Obp99a
head,FBgn0029990,-0.8849686791193125,11.026321339106827,-15.054898445193034,9.312912804755547e-49,2.542797712210455e-46,99.86607312267815,-1,CG2233
head,FBgn0030968,-0.9857668223065712,5.867137969009546,-15.017341871421,1.5553202444416948e-48,4.083313841753465e-46,99.43137668694472,-1,CG7322
head,FBgn0053113,0.46897846975513247,8.778714208650927,14.94439458938786,4.199236747936054e-48,1.0616292607930185e-45,98.40069261981941,1,Rtnl1
head,FBgn0052264,0.43654950209282806,8.433731798955192,14.68563770293471,1.3791889924330489e-46,3.3467378759806136e-44,94.93573131400429,1,CG32264
head,FBgn0001125,-0.6388721412422562,7.445940322936105,-14.683364147596158,1.421848789971254e-46,3.3467378759806136e-44,94.93535488769012,-1,Got2
head,FBgn0003941,-0.3875681592650171,11.139082705274516,-14.590902724629947,4.891879015509872e-46,1.1130655386623462e-43,93.64128287138763,-1,RpL40
head,FBgn0086359,0.7949925637874644,5.953124224046684,14.478438018360489,2.1801688877228754e-45,4.800591234708499e-43,92.25910321175448,1,Invadolysin
head,FBgn0085256,-1.5732429093702684,5.608997361646127,-14.371058749436497,9.002231288701514e-45,1.9202884617711415e-42,90.84357704363971,-1,CG34227
head,FBgn0031692,0.8843466695664439,5.785359177178828,14.282216634589027,2.891145284051719e-44,5.980290214829404e-42,89.69907603429361,1,TpnC25D
head,FBgn0002579,-0.36544827627025533,11.268533689863379,-14.151984800136443,1.5820517726456213e-43,3.1762015882585323e-41,87.89982002060003,-1,RpL36
head,FBgn0267001,0.5052222552183103,8.714656228439058,14.146644756163973,1.695781391071763e-43,3.3072582215588153e-41,87.86766007815811,1,Ten-a
head,FBgn0261599,-0.39843569751747054,11.398858258325927,-14.122196354753084,2.329610191757716e-43,4.4171997691494917e-41,87.51379823105673,-1,RpS29
head,FBgn0004045,-0.809361597079608,14.697167845236669,-13.983388280272953,1.401484562656681e-42,2.5855496282958123e-40,85.69072527947667,-1,Yp1
head,FBgn0250788,0.6416040473370188,5.582504112223067,13.94188022904941,2.3899927033039457e-42,4.293181629671772e-40,85.3284090058456,1,beta-Spec
head,FBgn0023507,-0.673087555212148,6.542631780692409,-13.925894979092943,2.9343874425286505e-42,5.135930431461684e-40,85.11049477736105,-1,D2hgdh
head,FBgn0037713,-1.2467077438958105,3.829027201192479,-13.889129163527102,4.7008288486139714e-42,8.021964430159743e-40,84.379268117588,-1,CG16790
head,FBgn0013949,-0.8507361525270287,6.002260923343671,-13.855778378638906,7.201714260778481e-42,1.1989975986359491e-39,84.23585189241228,-1,Elal
head,FBgn0038149,0.9389794270342691,4.621947081601796,13.817019390841036,1.1810760420595663e-41,1.919529776928238e-39,83.68963611586827,1,GILT1
head,FBgn0023477,-0.6322971621532023,7.656627869522815,-13.726913854800138,3.713752776501549e-41,5.89536661683711e-39,82.5562944963412,-1,Taldo
head,FBgn0033699,-0.39620024482938554,11.165968785430326,-13.663147316597094,8.323083966425263e-41,1.2912129807913372e-38,81.68022919762062,-1,RpS11
head,FBgn0016726,-0.43588003786302565,10.587354740194963,-13.565781931271587,2.836672446157096e-40,4.3029169149929643e-38,80.47331347345514,-1,RpL29
head,FBgn0034394,-0.8359379817948938,7.642536966068973,-13.51665012795097,5.252027252186096e-40,7.627731494345168e-38,79.92789057399311,-1,CG15096
head,FBgn0034407,-3.058680509145473,2.8438631459662616,-13.53557426017807,4.14364451124363e-40,6.148808137771526e-38,79.76684475066295,-1,DptB
head,FBgn0085360,-0.7742665915952731,6.890535278807766,-13.472290010013337,9.144706256171788e-40,1.3004534355130966e-37,79.4103912807807,-1,CG34331
