Geneid,SYMBOL,tissue,betahat,sebetahat,NegativeProb,PositiveProb,lfsr,svalue,lfdr,qvalue,PosteriorMean,PosteriorSD
FBgn0052350,Vps11,body,0.11872770834909141,0.264685755390179,0.30908708982396416,0.47897945681561416,0.5210205431843858,0.3174257137610416,0.2119334533604217,0.15138975137344632,0.03546031729749297,0.14623416318947297
FBgn0024733,RpL10,body,0.02131990825097252,0.08318704779448492,0.26011355411340925,0.3790954998379204,0.6209045001620797,0.38867021810358954,0.3607909460486704,0.17493838722889848,0.011514110992809742,0.06174898906452251
FBgn0040372,G9a,body,-0.09610312033789703,0.17629844672568346,0.5023322310231362,0.2604592054976046,0.4976677689768638,0.29894830643523834,0.2372085634792592,0.1635591460735307,-0.04153684453125521,0.11848552448054436
FBgn0000316,cin,body,0.6666893404153131,0.3347035399467429,0.12522148512387543,0.748864568461327,0.251135431538673,0.11548014735627496,0.12591394641479758,0.05964630207769123,0.18140497952495888,0.20816288230696348
FBgn0023536,CG3156,body,-0.46615488702325125,0.33230695153809264,0.6462424774037993,0.1907649446232269,0.35375752259620075,0.1893050261670109,0.16299257797297384,0.09098343594581788,-0.11576945923250972,0.1806047417238432
FBgn0023535,arg,body,0.08379968884362854,0.38813501255252936,0.3682143581888293,0.4332741418184103,0.5667258581815897,0.3548800782080106,0.19851149999276038,0.1367921548193778,0.015483810443342495,0.16718589551055824
FBgn0023537,CG17896,body,0.18445894929633644,0.12115049263786619,0.08193510304868223,0.7617685542793614,0.2382314457206386,0.10785552197281668,0.15629634267195636,0.08526221483188633,0.1140316174531405,0.1079648171742641
FBgn0029525,CG18273,body,0.05425582184758748,0.2539771166675192,0.3488122621969684,0.4316388649407636,0.5683611350592364,0.35662067628419736,0.21954887286226793,0.15654846007326823,0.016785068054353827,0.1416327227935333
FBgn0040373,CG3038,body,0.1965567685831069,0.31322758120303124,0.29259563499376817,0.508574327037481,0.49142567296251904,0.29431980752366027,0.19883003796875084,0.13733528488573743,0.048774498576005694,0.15899017620224903
FBgn0000108,Appl,body,0.7699590635299238,0.41497895087745684,0.1688754068407386,0.6873199671435513,0.31268003285644874,0.15740719765099856,0.14380462601571015,0.0735721441902051,0.1545320600658427,0.22218195810201713
FBgn0025640,CG13369,body,-0.06519695226712807,0.21725126389851596,0.447720556070618,0.32309250990880334,0.552279443929382,0.34374594247414425,0.22918693402057866,0.16092629634160333,-0.023523517535360552,0.13125934656513707
FBgn0025635,Hinfp,body,-0.0379249896718048,0.2625300470513666,0.4184521469852609,0.36333538816427124,0.5815478530147391,0.3675479538861666,0.21821246485046786,0.15564315323005637,-0.01131404362685823,0.14355895374999575
FBgn0001341,Mybbp1A,body,0.15013849299470983,0.2869088798846715,0.3023374234584625,0.4920227726108125,0.5079772273891875,0.30729591087193653,0.205639803930725,0.14629433677948667,0.04112417157620983,0.15225577258240858
FBgn0003575,su(sable),body,0.35846216451597557,0.26346527155586175,0.1683094905656921,0.6678641048995915,0.33213589510040853,0.17129138543907618,0.16382640453471642,0.09176996997427309,0.11714910317056718,0.16360522653010598
FBgn0025634,CG13367,body,0.2177674597499264,0.276097753020194,0.25629755048252073,0.5463918009461142,0.45360819905388583,0.26361609235894257,0.1973106485713651,0.13433453624920558,0.06346164156165285,0.15375377057319214
FBgn0025638,Roc1a,body,-0.1374459565450492,0.10562726766202384,0.7004827530303306,0.1009774132473858,0.2995172469696694,0.14743589174834412,0.19853983372228362,0.1368748872504699,-0.08577289243206705,0.09410793510205762
FBgn0040383,CG5254,body,0.2653409920511838,0.30537201788394375,0.2537582732649435,0.5555662502830672,0.44443374971693284,0.2574187743807675,0.19067547645198937,0.12273109621911471,0.0691273619783223,0.16149937580901907
FBgn0040382,CG5273,body,0.2535811097921816,0.2385907691484445,0.1994878975647597,0.6143381532925342,0.38566184670746584,0.2129368533945412,0.18617394914270613,0.11731711551907527,0.08888469494602287,0.1495792794454266
FBgn0025621,CG16989,body,0.10887764277945577,0.30357038547910753,0.3334350890521061,0.45965160071313077,0.5403483992868693,0.3329307439492962,0.20691331023476317,0.14782433467323663,0.027700404049509082,0.15409992529703226
FBgn0015799,Rbf,body,0.15647842295788372,0.18671766606750054,0.21229131651998184,0.5744462365872343,0.4255537634127658,0.24233208371068088,0.21326244689278395,0.1523157255746711,0.06672952393650795,0.12756057468803741
FBgn0015288,RpL22,body,0.9888522038793504,0.21531330633796733,2.5969286474331033e-4,0.9990689683582118,9.310316417882367e-4,1.6069184358873432e-4,6.713387770449264e-4,1.2046565120238975e-4,0.7553945943895531,0.2810301506606281
FBgn0025639,Hmt4-20,body,0.43184163437161915,0.23308594350282338,0.09660865832405938,0.7828669088879143,0.21713309111208562,0.09392182938630271,0.12052443278802624,0.05549202503061648,0.17321395327085984,0.16798515228321817
FBgn0002579,RpL36,body,0.25307215656654547,0.10528546173100965,0.016031820853091502,0.9363469682829149,0.06365303171708513,0.01934008832609654,0.047621210863993624,0.015533185920702937,0.1901509470995523,0.10200728667194713
FBgn0026879,CG13364,body,-0.30523936368421867,0.10990270118977194,0.9695634250176839,0.007260285588058857,0.03043657498231611,0.007373304596281946,0.023176289394257255,0.00595695980387875,-0.232623100762117,0.10451108760883365
FBgn0029529,CG13365,body,-0.379576415054114,0.2210518976982129,0.7631152992803787,0.10560426693053207,0.2368847007196213,0.1070663277304058,0.13128043378908924,0.06368409471795859,-0.1572216227776425,0.15998313511326787
FBgn0025633,spdi,body,-0.039839914981190105,0.1380152759390602,0.42915873004407606,0.29399778231762,0.570841269955924,0.3588830276119593,0.27684348763830396,0.1704896187939238,-0.019416312482601863,0.09714074424278718
FBgn0040339,MED22,body,-0.012010989066407296,0.27211886971075483,0.39999372434692815,0.38345750520804356,0.6000062756530719,0.381838977059408,0.2165487704450283,0.1544951188845117,-0.003442777987903941,0.1457034127254813
FBgn0040350,CG3690,body,0.14197789719961107,0.41987592153424613,0.35441306494365327,0.45079418186198733,0.5492058181380127,0.34098801682543695,0.19479275319435946,0.12963953656964253,0.0235942349549115,0.17202483395733925
FBgn0040349,CG3699,body,-0.6324650231681604,0.3221935454341065,0.7508051257966573,0.12317189985630458,0.24919487420334274,0.11392173900977369,0.12602297434703816,0.059862790475454175,-0.17922939648025704,0.20240495224281171
FBgn0040346,CG3704,body,0.5391815487252252,0.3531137164205596,0.18346272335150146,0.6595691968306926,0.34043080316930735,0.17834717045866474,0.1569680798178059,0.08586279933094784,0.12598835974033262,0.18945057179135297
