	direction	Gene	Degree	Average	Sum	B1	B2	B3	B4	B5	B6
4514	decohere	FBgn0086904	2256	0.26504640358988824	597.9446864987879	178	8	8	3	1	1
184	decohere	FBgn0014026	2248	0.27449442522592965	617.0634679078898	88	21	7	3	1	1
1811	decohere	FBgn0250814	2074	0.2672699935841824	554.3179666935944	88	21	7	3	1	1
554	decohere	FBgn0020618	1973	0.27357878193041735	539.7709367487134	88	21	7	3	1	1
241	decohere	FBgn0265297	1795	0.2673563738902179	479.90469113294114	105	4	4	3	1	1
5262	decohere	FBgn0029176	1753	0.2444534161160718	428.52683845147385	112	21	7	3	1	1
5554	decohere	FBgn0036825	1722	0.25394368962109	437.29103352751696	130	34	2	1	1	1
3875	decohere	FBgn0004838	1705	0.2632356909129541	448.8168530065868	59	9	9	2	0	0
3435	decohere	FBgn0035600	1705	0.2407950049973731	410.55548352052114	112	21	7	3	1	1
1643	decohere	FBgn0035753	1685	0.22735872629867637	383.0994538132697	178	8	8	3	1	1
6088	decohere	FBgn0039757	1684	0.24238560173916243	408.1773533287495	130	34	2	1	1	1
3925	decohere	FBgn0011284	1638	0.2355514550888089	385.83328343546896	176	40	7	3	1	1
3353	decohere	FBgn0003279	1630	0.23550398138726875	383.87148966124806	88	21	7	3	1	1
6452	decohere	FBgn0010412	1629	0.25291866777318983	412.00450980252623	176	40	7	3	1	1
3149	decohere	FBgn0010409	1625	0.24856967294128648	403.92571852959054	176	40	7	3	1	1
3162	decohere	FBgn0263352	1593	0.2561004640872884	407.96803929105045	59	9	9	2	0	0
1882	decohere	FBgn0033912	1556	0.23139663307997396	360.0531610724395	176	40	7	3	1	1
6548	decohere	FBgn0261602	1548	0.22576060732932357	349.4774201457929	88	21	7	3	1	1
772	decohere	FBgn0037135	1543	0.23754519457469936	366.5322352287611	136	8	8	3	1	1
5785	decohere	FBgn0002284	1539	0.21864401020445845	336.49313170466155	146	20	8	3	1	1
1493	decohere	FBgn0015024	1536	0.22732233581281044	349.1671078084768	159	14	9	2	0	0
4643	decohere	FBgn0019644	1519	0.2791248390147008	423.9906304633305	13	2	2	1	1	1
6278	decohere	FBgn0023174	1515	0.2640750311055167	400.0736721248578	136	8	8	3	1	1
3364	decohere	FBgn0262734	1501	0.23970483375234047	359.79695546226304	159	14	9	2	0	0
72	decohere	FBgn0005533	1485	0.2536857037735765	376.72327010376114	54	34	2	1	1	1
5585	decohere	FBgn0037199	1469	0.23514759721784192	345.4318203130098	146	20	8	3	1	1
396	decohere	FBgn0038271	1445	0.2629861362089276	380.0149668219003	112	21	7	3	1	1
4325	decohere	FBgn0026372	1413	0.21103824035518715	298.1970336218794	178	8	8	3	1	1
4550	decohere	FBgn0004404	1408	0.214876544943076	302.546175279851	178	8	8	3	1	1
1857	decohere	FBgn0033264	1391	0.23976361234092786	333.51118476623066	109	30	13	0	0	0
5170	decohere	FBgn0015756	1380	0.23226441687724655	320.5248952906002	176	40	7	3	1	1
5352	decohere	FBgn0024841	1355	0.21438031232070884	290.48532319456046	146	20	8	3	1	1
1661	decohere	FBgn0029629	1354	0.23381240525710847	316.58199671812486	94	12	7	3	1	1
2980	decohere	FBgn0034237	1323	0.20143730770717583	266.5015580965936	168	20	8	3	1	1
970	decohere	FBgn0021906	1322	0.2644383386632037	349.58748371275533	13	2	2	1	1	1
2023	decohere	FBgn0038149	1316	0.21175531590553917	278.66999573168954	166	17	10	0	0	0
1741	decohere	FBgn0004867	1314	0.24907885256765475	327.28961227389834	3	2	2	1	1	1
5933	decohere	FBgn0033879	1307	0.2631889240756909	343.987923766928	136	8	8	3	1	1
2536	decohere	FBgn0016691	1306	0.2479568948074879	323.8317046185792	13	2	2	1	1	1
3216	decohere	FBgn0020235	1297	0.25681961772409784	333.09504418815493	13	2	2	1	1	1
4586	decohere	FBgn0037351	1278	0.25317574861327213	323.5586067277618	54	34	2	1	1	1
5957	decohere	FBgn0037328	1273	0.2338369546946193	297.67444332625035	130	34	2	1	1	1
493	decohere	FBgn0250906	1272	0.23618889932880896	300.432279946245	136	8	8	3	1	1
3767	decohere	FBgn0014028	1264	0.21595163559826797	272.9628673962107	136	8	8	3	1	1
1971	decohere	FBgn0033699	1245	0.21126803776784214	263.02870702096345	176	40	7	3	1	1
1859	decohere	FBgn0008635	1236	0.21861210013079665	270.20455576166466	25	20	8	3	1	1
5716	decohere	FBgn0019936	1220	0.23444679650419928	286.0250917351231	54	34	2	1	1	1
6300	decohere	FBgn0002590	1215	0.23941669080948003	290.89127933351824	3	2	2	1	1	1
240	decohere	FBgn0014163	1201	0.24273124353615272	291.5202234869194	59	9	9	2	0	0
6017	decohere	FBgn0032518	1196	0.23090491133656346	276.1622739585299	130	34	2	1	1	1
4936	decohere	FBgn0039112	1194	0.23600800650884352	281.79355977155916	112	21	7	3	1	1
1538	decohere	FBgn0031066	1179	0.24253012770533294	285.9430205645875	13	2	2	1	1	1
5322	decohere	FBgn0011770	1171	0.24772793720080746	290.08941446214556	136	8	8	3	1	1
6244	decohere	FBgn0038924	1160	0.24503352277520835	284.2388864192417	136	8	8	3	1	1
1391	decohere	FBgn0030520	1159	0.23715262720318644	274.8598949284931	97	9	9	2	0	0
4663	decohere	FBgn0013680	1159	0.18474258899096707	214.11666064053082	105	4	4	3	1	1
618	decohere	FBgn0002787	1158	0.23273501802561264	269.50715087365944	146	20	8	3	1	1
6026	decohere	FBgn0014455	1156	0.20595028268300986	238.0785267815594	168	20	8	3	1	1
2961	decohere	FBgn0028336	1153	0.21252152143984623	245.03731422014272	136	8	8	3	1	1
3239	decohere	FBgn0039857	1144	0.23855013957362634	272.9013596722285	54	34	2	1	1	1
1602	decohere	FBgn0064225	1142	0.18299027851335914	208.97489806225613	176	40	7	3	1	1
5658	decohere	FBgn0017579	1135	0.2280236500865321	258.80684284821393	130	34	2	1	1	1
4700	decohere	FBgn0020910	1130	0.19387818735680382	219.0823517131883	112	21	7	3	1	1
790	decohere	FBgn0001105	1125	0.1983651719243836	223.16081841493155	159	14	9	2	0	0
3062	decohere	FBgn0031771	1121	0.2299856132338125	257.8138724351038	136	8	8	3	1	1
6221	decohere	FBgn0010411	1121	0.2167739438051735	243.0035910055995	130	34	2	1	1	1
844	decohere	FBgn0034968	1119	0.23173285850701425	259.30906866934896	130	34	2	1	1	1
3153	decohere	FBgn0030853	1114	0.19856714065830303	221.20379469334958	112	21	7	3	1	1
3102	decohere	FBgn0086472	1109	0.2187819593298069	242.62919289675585	130	34	2	1	1	1
5645	decohere	FBgn0002626	1103	0.21537191310249018	237.55522015204667	130	34	2	1	1	1
3878	decohere	FBgn0263594	1098	0.22645633875891702	248.6490599572909	159	14	9	2	0	0
1568	decohere	FBgn0021967	1085	0.24754120653822795	268.5822090939773	13	2	2	1	1	1
4628	decohere	FBgn0261596	1082	0.2095783529962861	226.76377794198157	130	34	2	1	1	1
901	decohere	FBgn0029996	1081	0.2550154614863191	275.67171386671095	59	9	9	2	0	0
5547	decohere	FBgn0016120	1079	0.23299025283102723	251.39648280467839	13	2	2	1	1	1
5707	decohere	FBgn0028369	1064	0.22503653398095308	239.4388721557341	160	4	4	3	1	1
574	decohere	FBgn0014002	1060	0.21291603410706703	225.69099615349106	112	21	7	3	1	1
14	decohere	FBgn0035032	1059	0.2290873011272124	242.60345189371793	13	2	2	1	1	1
958	decohere	FBgn0000114	1057	0.2258759467324193	238.7508756961672	59	9	9	2	0	0
1121	decohere	FBgn0034138	1057	0.20747230290208243	219.29822416750113	130	34	2	1	1	1
4716	decohere	FBgn0033902	1053	0.23727332394286946	249.84881011184154	112	21	7	3	1	1
6475	decohere	FBgn0046114	1053	0.20721848875713175	218.20106866125974	25	20	8	3	1	1
6428	decohere	FBgn0000100	1043	0.2196307069406319	229.07482733907906	3	2	2	1	1	1
400	decohere	FBgn0005593	1034	0.19293285363920334	199.49257066293626	130	34	2	1	1	1
4967	decohere	FBgn0013684	1018	0.2067571423197311	210.47877088148627	156	37	4	3	1	1
3951	decohere	FBgn0036726	1011	0.22472687512013623	227.19887074645771	94	12	7	3	1	1
218	decohere	FBgn0262737	1005	0.24422852223453184	245.4496648457045	97	9	9	2	0	0
1770	decohere	FBgn0020653	997	0.19899153300212663	198.39455840312024	25	20	8	3	1	1
1700	decohere	FBgn0027496	992	0.23993854702866393	238.01903865243463	136	8	8	3	1	1
5361	decohere	FBgn0011661	991	0.204907316752428	203.06315090165614	159	14	9	2	0	0
1791	decohere	FBgn0028737	985	0.22988625460485015	226.4379607857774	130	34	2	1	1	1
2800	decohere	FBgn0000181	984	0.21934527959333275	215.83575511983943	168	20	8	3	1	1
2593	decohere	FBgn0283450	980	0.21348712848203824	209.21738591239748	176	40	7	3	1	1
207	decohere	FBgn0040070	973	0.20820828589992615	202.58666218062814	94	12	7	3	1	1
617	decohere	FBgn0263396	972	0.21390071642430367	207.91149636442316	59	9	9	2	0	0
2625	decohere	FBgn0010621	966	0.19107977898412745	184.5830664986671	100	8	8	3	1	1
1719	decohere	FBgn0033241	963	0.24779152019265469	238.62323394552647	53	20	8	3	1	1
1566	decohere	FBgn0263780	946	0.17917187135669435	169.49659030343287	160	4	4	3	1	1
4563	decohere	FBgn0037873	942	0.2410555898012137	227.0743655927433	13	2	2	1	1	1
1360	decohere	FBgn0033378	941	0.2313436445687058	217.69436953915215	53	20	8	3	1	1
3544	decohere	FBgn0016687	938	0.24685796049878003	231.55276694785567	52	2	2	1	1	1
4338	decohere	FBgn0010488	938	0.2147145894553905	201.40228490915626	59	9	9	2	0	0
229	decohere	FBgn0264493	931	0.243844982698038	227.01967889187338	103	13	9	2	0	0
1834	decohere	FBgn0033608	927	0.22817488287564314	211.5181164257212	94	12	7	3	1	1
6049	decohere	FBgn0263231	927	0.21480233267615234	199.1217623907932	158	14	9	2	0	0
1109	decohere	FBgn0262735	923	0.2109374706452045	194.69528540552375	97	9	9	2	0	0
273	decohere	FBgn0035147	919	0.23465451522157285	215.64749948862544	112	21	7	3	1	1
3740	decohere	FBgn0025839	914	0.22817832894422532	208.55499265502195	52	2	2	1	1	1
2870	decohere	FBgn0026206	911	0.24066111804440526	219.2422785384532	59	9	9	2	0	0
4765	decohere	FBgn0002579	907	0.1909810080359968	173.2197742886491	176	40	7	3	1	1
5395	decohere	FBgn0040931	903	0.2145827608402197	193.7682330387184	130	34	2	1	1	1
3199	decohere	FBgn0019830	901	0.2591870591745759	233.52754031629289	112	21	7	3	1	1
2211	decohere	FBgn0021765	899	0.19620867134197997	176.39159553644	146	20	8	3	1	1
5502	decohere	FBgn0041094	897	0.23839706181829814	213.84216445101345	59	9	9	2	0	0
2168	decohere	FBgn0010638	891	0.2408227373508175	214.57305897957838	170	40	7	3	1	1
1535	decohere	FBgn0015834	883	0.19415936323500885	171.4427177365128	136	8	8	3	1	1
2979	decohere	FBgn0031078	883	0.16740457527587327	147.8182399685961	109	30	13	0	0	0
6124	decohere	FBgn0003517	880	0.23287445371426277	204.92951926855125	3	2	2	1	1	1
5057	decohere	FBgn0085453	875	0.2162414825671318	189.21129724624032	136	8	8	3	1	1
1131	decohere	FBgn0011272	874	0.21688213345556465	189.5549846401635	130	34	2	1	1	1
2036	decohere	FBgn0030551	874	0.17154485969789834	149.93020737596316	166	17	10	0	0	0
3503	decohere	FBgn0035046	870	0.22142294075595567	192.63795845768144	52	2	2	1	1	1
2469	decohere	FBgn0038277	866	0.21246750284116808	183.99685746045157	176	40	7	3	1	1
4075	decohere	FBgn0038834	861	0.19323487489001473	166.37522728030268	130	34	2	1	1	1
6215	decohere	FBgn0028688	861	0.18951942955697168	163.17622884855263	100	8	8	3	1	1
821	decohere	FBgn0266347	858	0.16546575241489023	141.96961557197582	160	4	4	3	1	1
1847	decohere	FBgn0001989	854	0.23469393106487504	200.42861712940328	52	2	2	1	1	1
1642	decohere	FBgn0040227	853	0.21624835587285068	184.45984755954163	25	20	8	3	1	1
362	decohere	FBgn0010265	851	0.19184507536752593	163.26015913776456	54	34	2	1	1	1
1010	decohere	FBgn0002622	851	0.1896002953414201	161.3498513355485	54	34	2	1	1	1
1330	decohere	FBgn0025286	845	0.210543500391454	177.90925783077864	141	34	2	1	1	1
1657	decohere	FBgn0266518	843	0.19363526745816956	163.23453046723694	25	20	8	3	1	1
4080	decohere	FBgn0028662	843	0.16402464074228756	138.2727721457484	25	20	8	3	1	1
2291	decohere	FBgn0003884	840	0.21340617306646986	179.26118537583469	67	12	7	3	1	1
3298	decohere	FBgn0039207	835	0.18476931558739146	154.28237851547186	109	30	13	0	0	0
626	decohere	FBgn0039830	830	0.2139516577694286	177.57987594862573	13	2	2	1	1	1
3532	decohere	FBgn0033317	829	0.18009092584209144	149.2953775230938	146	20	8	3	1	1
1668	decohere	FBgn0031980	822	0.2042877289385736	167.9245131875075	141	34	2	1	1	1
4667	decohere	FBgn0015778	820	0.20521764214560198	168.27846655939362	59	9	9	2	0	0
6416	decohere	FBgn0033663	816	0.22475546509786185	183.40045951985527	67	12	7	3	1	1
5073	decohere	FBgn0039713	812	0.18734151005521146	152.1213061648317	54	34	2	1	1	1
3148	decohere	FBgn0002031	809	0.20956139804328985	169.5351710170215	67	12	7	3	1	1
5320	decohere	FBgn0031381	801	0.22720311167743037	181.98969245362173	52	2	2	1	1	1
2205	decohere	FBgn0002593	799	0.22069455011380884	176.33494554093326	3	2	2	1	1	1
5110	decohere	FBgn0035805	798	0.17520300735213418	139.81199986700307	146	20	8	3	1	1
3967	decohere	FBgn0063491	797	0.2422805458227994	193.0975950207711	87	33	1	1	1	1
133	decohere	FBgn0037686	797	0.1978312208436422	157.67148301238285	54	34	2	1	1	1
5117	decohere	FBgn0038100	796	0.20941185552735878	166.6918369997776	97	9	9	2	0	0
1326	decohere	FBgn0050410	781	0.20698167173027612	161.65268562134565	136	8	8	3	1	1
5726	decohere	FBgn0036580	777	0.22061073630534636	171.4145421092541	100	8	8	3	1	1
1714	decohere	FBgn0027547	774	0.17480623436258555	135.30002539664122	136	8	8	3	1	1
2729	decohere	FBgn0034877	773	0.22578697354346688	174.5333305490999	3	2	2	1	1	1
2462	decohere	FBgn0032014	771	0.21429340670928268	165.22021657285694	166	17	10	0	0	0
2163	decohere	FBgn0031830	770	0.21418382503703742	164.9215452785188	180	2	2	1	1	1
2288	decohere	FBgn0020238	764	0.23455203396414895	179.1977539486098	158	14	9	2	0	0
5291	decohere	FBgn0034259	759	0.2526511254110439	191.76220418698233	53	20	8	3	1	1
6101	decohere	FBgn0039359	751	0.20242001951209573	152.0174346535839	141	34	2	1	1	1
2360	decohere	FBgn0020496	750	0.23701643873122802	177.762329048421	97	9	9	2	0	0
737	decohere	FBgn0002921	748	0.2435680304235544	182.1888867568187	147	11	4	3	1	1
4042	decohere	FBgn0003076	748	0.1966742079246272	147.11230752762114	136	8	8	3	1	1
4757	decohere	FBgn0015379	745	0.19451365897713582	144.91267593796618	146	20	8	3	1	1
5023	decohere	FBgn0032715	744	0.22066027094474408	164.1712415828896	155	29	2	1	1	1
3	decohere	FBgn0036213	743	0.1919639291585462	142.62919936479983	3	2	2	1	1	1
6063	decohere	FBgn0262782	743	0.1754022526707898	130.3238737343968	88	21	7	3	1	1
5048	decohere	FBgn0010602	738	0.2186380627758376	161.35489032856816	163	30	13	0	0	0
1108	decohere	FBgn0050359	738	0.1655977622893391	122.21114856953226	25	20	8	3	1	1
6065	decohere	FBgn0085436	737	0.20333043162094683	149.8545281046378	97	9	9	2	0	0
2677	decohere	FBgn0086686	729	0.23207915819978012	169.1857063276397	97	9	9	2	0	0
6272	decohere	FBgn0004102	729	0.14767636871307258	107.6560727918299	160	4	4	3	1	1
4897	decohere	FBgn0030065	724	0.17651603406664187	127.79760866424871	5	4	4	3	1	1
