,Gene,Tissue,Condition,Average_Spearman,Degree,WeightedDegree
0,FBgn0033272,head,ctrl,0.14676865091166655,817,0.14676865091166655
1,FBgn0030055,head,ctrl,0.14895406569878147,1109,0.14895406569878147
2,FBgn0262716,head,ctrl,0.14236522493347567,525,0.14236522493347567
3,FBgn0262738,head,ctrl,0.2552372295032345,3683,0.2552372295032345
4,FBgn0003896,head,ctrl,0.16570204851178,1670,0.16570204851178
5,FBgn0030505,head,ctrl,0.2203339781269203,2901,0.2203339781269203
6,FBgn0041588,head,ctrl,0.16317216826405892,1641,0.16317216826405892
7,FBgn0040011,head,ctrl,0.14221857394617027,668,0.14221857394617027
8,FBgn0050493,head,ctrl,0.15163830667021264,198,0.15163830667021264
9,FBgn0053156,head,ctrl,0.14185580520165256,660,0.14185580520165256
10,FBgn0038849,head,ctrl,0.15469716871150951,414,0.15469716871150951
11,FBgn0036667,head,ctrl,0.16561668021647516,1799,0.16561668021647516
12,FBgn0035921,head,ctrl,0.14727925131334663,811,0.14727925131334663
13,FBgn0034362,head,ctrl,0.17943505014669056,1527,0.17943505014669056
14,FBgn0002940,head,ctrl,0.24372749463508797,3575,0.24372749463508797
15,FBgn0051445,head,ctrl,0.18415323198493103,1301,0.18415323198493103
16,FBgn0015903,head,ctrl,0.14446254724130844,363,0.14446254724130844
17,FBgn0001987,head,ctrl,0.16350676033728062,1638,0.16350676033728062
18,FBgn0000308,head,ctrl,0.19949940280661263,2512,0.19949940280661263
19,FBgn0027499,head,ctrl,0.1566453463856151,1523,0.1566453463856151
20,FBgn0261089,head,ctrl,0.20554645287389184,2889,0.20554645287389184
21,FBgn0033010,head,ctrl,0.1677824552936344,1870,0.1677824552936344
22,FBgn0052532,head,ctrl,0.1490126165106132,937,0.1490126165106132
23,FBgn0034803,head,ctrl,0.15743982153260605,1376,0.15743982153260605
24,FBgn0040206,head,ctrl,0.1735782898767463,2165,0.1735782898767463
25,FBgn0033494,head,ctrl,0.1818600694840037,2329,0.1818600694840037
26,FBgn0035088,head,ctrl,0.1743867821856031,2080,0.1743867821856031
27,FBgn0029067,head,ctrl,0.16253257966447188,1615,0.16253257966447188
28,FBgn0037140,head,ctrl,0.14297672096264913,685,0.14297672096264913
29,FBgn0029117,head,ctrl,0.17031833029216933,1874,0.17031833029216933
30,FBgn0016694,head,ctrl,0.2657934101201006,3940,0.2657934101201006
31,FBgn0032079,head,ctrl,0.15486890941401676,949,0.15486890941401676
32,FBgn0030740,head,ctrl,0.18200845615001715,1721,0.18200845615001715
33,FBgn0030234,head,ctrl,0.16074368046127874,1307,0.16074368046127874
34,FBgn0039149,head,ctrl,0.16504488933499176,1716,0.16504488933499176
35,FBgn0020930,head,ctrl,0.16117191400864844,975,0.16117191400864844
36,FBgn0039328,head,ctrl,0.15573371924541396,1204,0.15573371924541396
37,FBgn0039385,head,ctrl,0.13207074654633033,187,0.13207074654633033
38,FBgn0015569,head,ctrl,0.1545010289381853,1004,0.1545010289381853
39,FBgn0038331,head,ctrl,0.18408231876789585,2277,0.18408231876789585
40,FBgn0026373,head,ctrl,0.191046097247853,2565,0.191046097247853
41,FBgn0040211,head,ctrl,0.1813387114415695,613,0.1813387114415695
42,FBgn0003559,head,ctrl,0.13014815248674624,93,0.13014815248674624
43,FBgn0052221,head,ctrl,0.13151792566139858,126,0.13151792566139858
44,FBgn0263659,head,ctrl,0.15284744439705925,556,0.15284744439705925
45,FBgn0037094,head,ctrl,0.1682247089511122,1024,0.1682247089511122
46,FBgn0031821,head,ctrl,0.14319765256469483,783,0.14319765256469483
47,FBgn0031770,head,ctrl,0.1810875038190055,1914,0.1810875038190055
48,FBgn0027291,head,ctrl,0.220962145628727,2980,0.220962145628727
49,FBgn0034142,head,ctrl,0.17590965380193524,1779,0.17590965380193524
50,FBgn0024992,head,ctrl,0.1417786563227177,354,0.1417786563227177
51,FBgn0026679,head,ctrl,0.12823844015105787,54,0.12823844015105787
52,FBgn0050440,head,ctrl,0.14019955191844063,83,0.14019955191844063
53,FBgn0025639,head,ctrl,0.1516288536584916,1156,0.1516288536584916
54,FBgn0028541,head,ctrl,0.1485250998909228,784,0.1485250998909228
55,FBgn0039909,head,ctrl,0.17936915944943213,1285,0.17936915944943213
56,FBgn0011230,head,ctrl,0.17039096658610686,2082,0.17039096658610686
57,FBgn0039227,head,ctrl,0.16185931068172127,1533,0.16185931068172127
58,FBgn0002917,head,ctrl,0.15690835537330103,1314,0.15690835537330103
59,FBgn0031646,head,ctrl,0.1462210542517994,157,0.1462210542517994
60,FBgn0032196,head,ctrl,0.14813032693935882,964,0.14813032693935882
61,FBgn0053523,head,ctrl,0.14985824270804055,725,0.14985824270804055
62,FBgn0026777,head,ctrl,0.16463404679491686,1670,0.16463404679491686
63,FBgn0034726,head,ctrl,0.15684534635641637,1311,0.15684534635641637
64,FBgn0042129,head,ctrl,0.18123806103563966,865,0.18123806103563966
65,FBgn0039207,head,ctrl,0.1573019155399018,666,0.1573019155399018
66,FBgn0052085,head,ctrl,0.2004528564948411,2927,0.2004528564948411
67,FBgn0260971,head,ctrl,0.19051587954853022,2233,0.19051587954853022
68,FBgn0032940,head,ctrl,0.13462396946179073,168,0.13462396946179073
69,FBgn0015296,head,ctrl,0.1485342659255935,458,0.1485342659255935
70,FBgn0028863,head,ctrl,0.2678724420054925,3985,0.2678724420054925
71,FBgn0035497,head,ctrl,0.16398150027023298,1585,0.16398150027023298
72,FBgn0029881,head,ctrl,0.21613805671119954,3173,0.21613805671119954
73,FBgn0054003,head,ctrl,0.19799058824817636,2950,0.19799058824817636
74,FBgn0001256,head,ctrl,0.18325412366228946,2316,0.18325412366228946
75,FBgn0010328,head,ctrl,0.13991491726635874,448,0.13991491726635874
76,FBgn0015546,head,ctrl,0.15656428396396574,884,0.15656428396396574
77,FBgn0030091,head,ctrl,0.13278238389213112,184,0.13278238389213112
78,FBgn0044812,head,ctrl,0.17523078126891736,1514,0.17523078126891736
79,FBgn0263039,head,ctrl,0.15770595215182442,880,0.15770595215182442
80,FBgn0013692,head,ctrl,0.1636619047925372,1274,0.1636619047925372
81,FBgn0031030,head,ctrl,0.2142319634352476,3296,0.2142319634352476
82,FBgn0015371,head,ctrl,0.21963964320252494,3222,0.21963964320252494
83,FBgn0033769,head,ctrl,0.15308261774526316,454,0.15308261774526316
84,FBgn0032997,head,ctrl,0.14160231098841872,524,0.14160231098841872
85,FBgn0025574,head,ctrl,0.18659464700315975,2442,0.18659464700315975
86,FBgn0085384,head,ctrl,0.18397950900489216,2303,0.18397950900489216
87,FBgn0004107,head,ctrl,0.14534622692116253,910,0.14534622692116253
88,FBgn0260962,head,ctrl,0.14400543282938882,564,0.14400543282938882
89,FBgn0003557,head,ctrl,0.19211323301522196,2853,0.19211323301522196
90,FBgn0039115,head,ctrl,0.1488508069469721,381,0.1488508069469721
91,FBgn0267791,head,ctrl,0.1669856555740764,1535,0.1669856555740764
92,FBgn0000273,head,ctrl,0.25328052493788655,3738,0.25328052493788655
93,FBgn0260936,head,ctrl,0.14313111593371353,598,0.14313111593371353
94,FBgn0037164,head,ctrl,0.13951073297185299,301,0.13951073297185299
95,FBgn0261046,head,ctrl,0.18522882843657723,2243,0.18522882843657723
96,FBgn0032129,head,ctrl,0.25545839654685026,3933,0.25545839654685026
97,FBgn0035481,head,ctrl,0.23080242154874525,2936,0.23080242154874525
98,FBgn0086371,head,ctrl,0.13817543596883963,318,0.13817543596883963
99,FBgn0259822,head,ctrl,0.2425083245390198,3735,0.2425083245390198
100,FBgn0024957,head,ctrl,0.16503700550291686,593,0.16503700550291686
101,FBgn0035982,head,ctrl,0.2192554493521301,1513,0.2192554493521301
102,FBgn0036184,head,ctrl,0.14064071454056237,686,0.14064071454056237
103,FBgn0015591,head,ctrl,0.16090508728207623,1036,0.16090508728207623
104,FBgn0033784,head,ctrl,0.1408184338975109,423,0.1408184338975109
105,FBgn0030257,head,ctrl,0.16669568786266867,831,0.16669568786266867
106,FBgn0014857,head,ctrl,0.1886985964827078,2524,0.1886985964827078
107,FBgn0031052,head,ctrl,0.14635786009957708,563,0.14635786009957708
108,FBgn0037315,head,ctrl,0.14343864205663373,264,0.14343864205663373
109,FBgn0034145,head,ctrl,0.22191556356564676,3333,0.22191556356564676
110,FBgn0267704,head,ctrl,0.15798673168597893,493,0.15798673168597893
111,FBgn0010602,head,ctrl,0.17323386440639116,2135,0.17323386440639116
112,FBgn0037491,head,ctrl,0.14101065069005644,735,0.14101065069005644
113,FBgn0013756,head,ctrl,0.15100387820225053,819,0.15100387820225053
114,FBgn0051739,head,ctrl,0.1504157552673924,1043,0.1504157552673924
115,FBgn0004638,head,ctrl,0.18494975412458303,2280,0.18494975412458303
