,Gene,Tissue,Condition,Average_Spearman,Degree,WeightedDegree
0,FBgn0033272,head,hs,0.13609020907532737,871,0.13609020907532737
1,FBgn0030055,head,hs,0.1357147215456659,765,0.1357147215456659
2,FBgn0262716,head,hs,0.12694470312938536,224,0.12694470312938536
3,FBgn0262738,head,hs,0.23176025594307262,3271,0.23176025594307262
4,FBgn0003896,head,hs,0.1732756254697452,2001,0.1732756254697452
5,FBgn0030505,head,hs,0.22507232567792573,3166,0.22507232567792573
6,FBgn0041588,head,hs,0.13511815540439298,533,0.13511815540439298
7,FBgn0040011,head,hs,0.1270287570489361,251,0.1270287570489361
8,FBgn0050493,head,hs,0.14646176316037196,279,0.14646176316037196
9,FBgn0053156,head,hs,0.12491087280092367,232,0.12491087280092367
10,FBgn0038849,head,hs,0.1371504535941931,443,0.1371504535941931
11,FBgn0036667,head,hs,0.14920620601666024,1562,0.14920620601666024
12,FBgn0035921,head,hs,0.13076691702868484,329,0.13076691702868484
13,FBgn0034362,head,hs,0.16351620508597248,929,0.16351620508597248
14,FBgn0002940,head,hs,0.1941842340130345,2227,0.1941842340130345
15,FBgn0051445,head,hs,0.17888833445641916,1553,0.17888833445641916
16,FBgn0015903,head,hs,0.14206836327908756,909,0.14206836327908756
17,FBgn0001987,head,hs,0.1474664919546133,965,0.1474664919546133
18,FBgn0000308,head,hs,0.17783404983888276,1804,0.17783404983888276
19,FBgn0027499,head,hs,0.14457122494872712,1447,0.14457122494872712
20,FBgn0261089,head,hs,0.1997333509877407,2996,0.1997333509877407
21,FBgn0033010,head,hs,0.13788078881564692,994,0.13788078881564692
22,FBgn0052532,head,hs,0.1700856264306227,1984,0.1700856264306227
23,FBgn0034803,head,hs,0.13689778346470577,518,0.13689778346470577
24,FBgn0040206,head,hs,0.15285320585612658,1713,0.15285320585612658
25,FBgn0033494,head,hs,0.20400694342020634,3109,0.20400694342020634
26,FBgn0035088,head,hs,0.14682390401242862,1437,0.14682390401242862
27,FBgn0029067,head,hs,0.14995995141356583,1324,0.14995995141356583
28,FBgn0037140,head,hs,0.12796402493530792,309,0.12796402493530792
29,FBgn0029117,head,hs,0.14208119581518733,1028,0.14208119581518733
30,FBgn0016694,head,hs,0.24330340113994048,3447,0.24330340113994048
31,FBgn0032079,head,hs,0.1409836915151976,513,0.1409836915151976
32,FBgn0030740,head,hs,0.16412710738906863,931,0.16412710738906863
33,FBgn0030234,head,hs,0.14118179496725808,523,0.14118179496725808
34,FBgn0039149,head,hs,0.14797930760132266,1365,0.14797930760132266
35,FBgn0020930,head,hs,0.1369657074658958,581,0.1369657074658958
36,FBgn0039328,head,hs,0.1285330381746198,325,0.1285330381746198
37,FBgn0039385,head,hs,0.11722178643137038,41,0.11722178643137038
38,FBgn0015569,head,hs,0.15390157213906674,929,0.15390157213906674
39,FBgn0038331,head,hs,0.1627576253991095,1534,0.1627576253991095
40,FBgn0026373,head,hs,0.16366194598200312,1959,0.16366194598200312
41,FBgn0040211,head,hs,0.15302891215759284,847,0.15302891215759284
42,FBgn0003559,head,hs,0.12485862834632785,93,0.12485862834632785
43,FBgn0052221,head,hs,0.1217709373929167,41,0.1217709373929167
44,FBgn0263659,head,hs,0.16435651397992718,1105,0.16435651397992718
45,FBgn0037094,head,hs,0.16552211214708484,1144,0.16552211214708484
46,FBgn0031821,head,hs,0.1264646169849398,147,0.1264646169849398
47,FBgn0031770,head,hs,0.19584757625678806,2662,0.19584757625678806
48,FBgn0027291,head,hs,0.19344514666423793,2276,0.19344514666423793
49,FBgn0034142,head,hs,0.17716529147529717,2657,0.17716529147529717
