Gene	Tissue	Condition	V(G)	V(e)	Vp	h2
FBgn0031081	head	ctrl	0.027503	0.410577	0.43808	0.06278
FBgn0031080	head	ctrl	0.263701	1.168058	1.431759	0.18418
FBgn0052350	head	ctrl	1e-06	0.876111	0.876112	1e-06
FBgn0024733	head	ctrl	0.067298	0.112311	0.179609	0.374692
FBgn0040372	head	ctrl	1e-06	0.716028	0.716029	1e-06
FBgn0024989	head	ctrl	1e-06	1.089292	1.089293	1e-06
FBgn0023536	head	ctrl	1e-06	1.030055	1.030056	1e-06
FBgn0023534	head	ctrl	0.062169	0.59439	0.656559	0.09469
FBgn0023537	head	ctrl	0.061512	0.157077	0.21859	0.281406
FBgn0029525	head	ctrl	0.055216	1.058582	1.113798	0.049575
FBgn0052816	head	ctrl	1e-06	1.031722	1.031723	1e-06
FBgn0000108	head	ctrl	0.014752	0.184295	0.199047	0.074113
FBgn0025640	head	ctrl	1e-06	0.612861	0.612861	1e-06
FBgn0025635	head	ctrl	1e-06	1.330528	1.33053	1e-06
FBgn0001341	head	ctrl	0.038603	1.397324	1.435927	0.026884
FBgn0003575	head	ctrl	0.052456	0.649485	0.701941	0.07473
FBgn0025634	head	ctrl	1e-06	0.841618	0.841619	1e-06
FBgn0025638	head	ctrl	0.217651	0.223577	0.441228	0.493285
FBgn0040383	head	ctrl	0.033474	0.44438	0.477854	0.070051
FBgn0040382	head	ctrl	0.044333	0.081956	0.126289	0.351041
FBgn0027343	head	ctrl	0.019162	1.232403	1.251565	0.015311
FBgn0025621	head	ctrl	1e-06	0.912414	0.912415	1e-06
FBgn0015799	head	ctrl	0.039334	0.623597	0.662931	0.059333
FBgn0015288	head	ctrl	0.106069	0.277668	0.383737	0.27641
FBgn0025639	head	ctrl	0.015986	0.492389	0.508375	0.031445
FBgn0002579	head	ctrl	0.027692	0.08645	0.114142	0.242607
FBgn0026879	head	ctrl	0.016779	0.201074	0.217853	0.077019
FBgn0029529	head	ctrl	1e-06	0.525168	0.525169	1e-06
FBgn0025633	head	ctrl	0.05109	0.483387	0.534477	0.095589
FBgn0040339	head	ctrl	0.077795	1.534405	1.6122	0.048254
FBgn0040397	head	ctrl	1e-06	1.276353	1.276354	1e-06
FBgn0040349	head	ctrl	1.172403	1.344327	2.516731	0.465844
FBgn0040364	head	ctrl	0.252728	0.532142	0.78487	0.322
FBgn0024362	head	ctrl	0.018175	0.39174	0.409915	0.044339
FBgn0024364	head	ctrl	0.065822	0.983342	1.049165	0.062738
FBgn0024987	head	ctrl	0	0.196562	0.196562	1e-06
FBgn0023169	head	ctrl	0.008847	0.158642	0.16749	0.052824
FBgn0052813	head	ctrl	0.091164	0.632007	0.723171	0.126061
FBgn0024985	head	ctrl	0.010272	0.247637	0.257909	0.039827
FBgn0027794	head	ctrl	0.004343	0.551613	0.555956	0.007812
FBgn0024986	head	ctrl	0.028487	0.335528	0.364015	0.078257
FBgn0024365	head	ctrl	1e-06	0.544054	0.544054	1e-06
FBgn0024360	head	ctrl	1e-06	1.360714	1.360716	1e-06
FBgn0025641	head	ctrl	0	0.367111	0.367112	1e-06
FBgn0028550	head	ctrl	0.045215	0.175456	0.220671	0.204897
FBgn0040366	head	ctrl	2e-06	1.675914	1.675915	1e-06
FBgn0029580	head	ctrl	1.115511	1.175329	2.29084	0.486944
FBgn0025394	head	ctrl	0.025525	0.395747	0.421272	0.060591
FBgn0001189	head	ctrl	0.050058	0.428222	0.478281	0.104663
FBgn0025390	head	ctrl	0.013043	0.494553	0.507596	0.025696
FBgn0003517	head	ctrl	0.025349	0.116988	0.142337	0.178088
FBgn0025382	head	ctrl	1e-06	0.93629	0.936291	1e-06
FBgn0027791	head	ctrl	0.05432	1.022339	1.076659	0.050453
FBgn0026873	head	ctrl	0.016045	1.101224	1.117268	0.014361
FBgn0014411	head	ctrl	1e-06	0.835864	0.835865	1e-06
FBgn0023514	head	ctrl	0.010673	1.291122	1.301794	0.008198
FBgn0029594	head	ctrl	0.022073	0.654528	0.676601	0.032623
FBgn0023519	head	ctrl	0.014579	0.587049	0.601628	0.024233
FBgn0023508	head	ctrl	1e-06	0.617875	0.617876	1e-06
FBgn0023522	head	ctrl	0.046904	0.999369	1.046274	0.04483
FBgn0023521	head	ctrl	1e-06	1.189156	1.189157	1e-06
